epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.4388888888888889,0.3416666666666667,0.39999999999999997,0.4
2,0.39999999999999997,0.4,0.35555555555555557,0.4666666666666667
3,0.39444444444444443,0.4083333333333333,0.2888888888888889,0.5666666666666667
4,0.3444444444444444,0.48333333333333334,0.37777777777777777,0.43333333333333335
5,0.35000000000000003,0.475,0.37777777777777777,0.43333333333333335
6,0.3,0.55,0.3333333333333333,0.5
7,0.2722222222222222,0.5916666666666667,0.3333333333333333,0.5
8,0.21666666666666667,0.675,0.3111111111111111,0.5333333333333333
9,0.17777777777777778,0.7333333333333333,0.24444444444444446,0.6333333333333333
10,0.19444444444444445,0.7083333333333334,0.22222222222222224,0.6666666666666666
11,0.19444444444444442,0.7083333333333334,0.22222222222222224,0.6666666666666666
12,0.1722222222222222,0.7416666666666667,0.20000000000000004,0.7
13,0.16666666666666666,0.75,0.13333333333333333,0.8
14,0.15,0.775,0.15555555555555556,0.7666666666666667
15,0.14444444444444446,0.7833333333333333,0.13333333333333333,0.8
16,0.12222222222222222,0.8166666666666667,0.13333333333333333,0.8
17,0.09999999999999999,0.85,0.11111111111111112,0.8333333333333334
18,0.12222222222222222,0.8166666666666667,0.15555555555555556,0.7666666666666667
19,0.13333333333333333,0.8,0.13333333333333333,0.8
20,0.11666666666666665,0.825,0.08888888888888889,0.8666666666666667
21,0.12222222222222223,0.8166666666666667,0.06666666666666667,0.9
22,0.11666666666666665,0.825,0.08888888888888889,0.8666666666666667
23,0.09999999999999999,0.85,0.06666666666666667,0.9
24,0.07777777777777778,0.8833333333333333,0.06666666666666667,0.9
25,0.09999999999999999,0.85,0.08888888888888889,0.8666666666666667
26,0.09444444444444444,0.8583333333333333,0.08888888888888889,0.8666666666666667
27,0.08333333333333333,0.875,0.08888888888888889,0.8666666666666667
28,0.08333333333333333,0.875,0.08888888888888889,0.8666666666666667
29,0.10000000000000002,0.85,0.1111111111111111,0.8333333333333334
30,0.07222222222222223,0.8916666666666667,0.1111111111111111,0.8333333333333334
31,0.07777777777777778,0.8833333333333333,0.1111111111111111,0.8333333333333334
32,0.10555555555555556,0.8416666666666667,0.1111111111111111,0.8333333333333334
33,0.12222222222222222,0.8166666666666667,0.08888888888888889,0.8666666666666667
34,0.11666666666666665,0.825,0.06666666666666667,0.9
35,0.09444444444444444,0.8583333333333333,0.08888888888888889,0.8666666666666667
36,0.09444444444444444,0.8583333333333333,0.1111111111111111,0.8333333333333334
37,0.12222222222222222,0.8166666666666667,0.08888888888888889,0.8666666666666667
38,0.11666666666666665,0.825,0.1111111111111111,0.8333333333333334
39,0.07777777777777778,0.8833333333333333,0.1111111111111111,0.8333333333333334
40,0.06666666666666667,0.9,0.044444444444444446,0.9333333333333333
41,0.07222222222222223,0.8916666666666667,0.08888888888888889,0.8666666666666667
42,0.07777777777777778,0.8833333333333333,0.044444444444444446,0.9333333333333333
43,0.05555555555555556,0.9166666666666666,0.06666666666666667,0.9
44,0.05000000000000001,0.925,0.08888888888888889,0.8666666666666667
45,0.061111111111111116,0.9083333333333333,0.06666666666666667,0.9
46,0.06111111111111111,0.9083333333333333,0.044444444444444446,0.9333333333333333
47,0.07222222222222223,0.8916666666666667,0.044444444444444446,0.9333333333333333
48,0.061111111111111116,0.9083333333333333,0.08888888888888889,0.8666666666666667
49,0.06666666666666667,0.9,0.08888888888888889,0.8666666666666667
50,0.05555555555555555,0.9166666666666666,0.044444444444444446,0.9333333333333333
